,Length_Mean,Length_Std,Length_Min,Length_Max,Length_Best,Avg_Time,Best_Known,Error_Mean_%,Error_Min_%,Error_Max_%,Error_Best_%
d493,35840.6,42.93995808102285,35779.0,35929.0,35762,66.21999430656433,35002,2.3958630935375083,2.2198731501057085,2.6484200902805557,2.171304496885892
d657,50271.9,63.151326193517114,50159.0,50366.0,50153,140.3084303855896,48912,2.780299313052015,2.5494766110565914,2.9726856395158654,2.537209682695453
fl417,12184.1,5.107837115648854,12174.0,12190.0,12174,50.213617944717406,11861,2.724053621111208,2.6389005986004554,2.7737964758452067,2.6389005986004554
lin318,42537.2,52.748080533797626,42437.0,42654.0,42382,25.926156449317933,42029,1.2091651002878896,0.9707582859454186,1.4870684527350162,0.8398962621047372
p654,35070.3,108.61496213689897,34748.0,35143.0,34520,164.43867316246033,34643,1.2334382126259358,0.30309153364316027,1.443293017348382,-0.355050082267702
pcb442,51605.6,68.86828007145235,51469.0,51690.0,51305,50.50955755710602,50778,1.6298396943558204,1.3608255543739414,1.7960534089566347,1.0378510378510377
pr439,108103.6,82.0892197550933,107911.0,108196.0,107771,50.94308049678803,107217,0.8269211039294196,0.6472854118283481,0.9131014671180876,0.5167091039667217
rat575,7245.7,10.488565202161828,7226.0,7266.0,7191,89.25901715755462,6773,6.979182046360546,6.688321275653329,7.278901520744132,6.1715635611988775
rd400,15658.6,23.113632341109867,15620.0,15696.0,15620,43.25875194072724,15281,2.4710424710424737,2.2184412014920487,2.715790851384072,2.2184412014920487
u574,37963.4,71.18033436279997,37837.0,38066.0,37836,94.13125252723694,36905,2.8679040780382103,2.5254030619157297,3.145915187643951,2.5226934019780516
