,Length_Mean,Length_Std,Length_Min,Length_Max,Length_Best,Avg_Time,Best_Known,Error_Mean_%,Error_Min_%,Error_Max_%,Error_Best_%
d493,35452.6,51.71112066084045,35338.0,35513.0,35319,1.1010178327560425,35002,1.2873550082852367,0.9599451459916576,1.459916576195646,0.9056625335695102
d657,49581.0,52.731394823198066,49476.0,49644.0,49470,1.3489036560058594,48912,1.3677625122669284,1.1530912659470067,1.4965652600588812,1.1408243375858684
fl417,12121.8,3.280243893371345,12119.0,12127.0,12119,0.9921107769012452,11861,2.1988027990894468,2.1751960205716214,2.2426439591939973,2.1751960205716214
lin318,42438.9,151.22132786085433,42194.0,42696.0,42146,0.8342897891998291,42029,0.9752789740417366,0.39258607152204433,1.5869994527588094,0.27837921435199503
p654,34930.5,7.88986691902975,34919.0,34944.0,34750,1.311561894416809,34643,0.8298934849753198,0.796697745576307,0.8688623964437261,0.30886470571255376
pcb442,51593.2,210.0889335495804,51232.0,51969.0,51072,1.0511475801467896,50778,1.6054196699357932,0.8940879908621845,2.345503958407184,0.5789909015715468
pr439,108128.8,895.0788568612264,107469.0,109522.0,107329,1.133773422241211,107217,0.8504248393445096,0.23503735415092755,2.149845640150349,0.10446104628930113
rat575,7209.1,11.536463929644992,7190.0,7233.0,7159,1.1807668447494506,6773,6.438801122102471,6.156799055071608,6.79167281854422,5.699099365126237
rd400,15586.5,44.54492114708477,15521.0,15648.0,15521,0.9599846124649047,15281,1.999214711079118,1.5705778417642824,2.401675283031215,1.5705778417642824
u574,37625.3,110.33770887597765,37343.0,37749.0,37342,1.1581474781036376,36905,1.9517680531093424,1.1868310527028858,2.286952987400081,1.184121392765208
